scenarioId,stage,expectedClassName,sampleCount,pythonDetectedCount,frontendDetectedCount,frontendDetectionRateOnPythonDetected,top1ClassMatchRateOnPythonDetected,meanTop1IoU,meanTop1ScoreGapAbs,failureSamples
pre=letterbox|conf=0.25|iou=0.65|nms=global|fb=off,preprocess,chanterelle,1,1,1,1,0,0.018694,0.013279,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\chanterelle\chanterelle_0023.jpg
pre=letterbox|conf=0.25|iou=0.65|nms=global|fb=off,preprocess,amanita_phalloides,1,1,1,1,0,0.675018,0.453025,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\amanita_phalloides\amanita_phalloides_0020.jpg
pre=letterbox|conf=0.25|iou=0.65|nms=global|fb=off,preprocess,coral_mushroom_mix,1,1,0,0,0,,,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\coral_mushroom_mix\coral_mushroom_mix_0002.jpg
pre=letterbox|conf=0.25|iou=0.65|nms=global|fb=off,preprocess,russula_green,1,1,1,1,0,0,0.281433,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\russula_green\russula_green_0048.jpg
pre=letterbox|conf=0.25|iou=0.65|nms=global|fb=off,preprocess,chlorophyllum_molybdites,1,1,1,1,0,0.946588,0.237313,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\chlorophyllum_molybdites\chlorophyllum_molybdites_0043.jpg
pre=letterbox|conf=0.25|iou=0.65|nms=global|fb=off,preprocess,black_tiger_mushroom,1,1,0,0,0,,,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\black_tiger_mushroom\black_tiger_mushroom_0113.jpg
pre=letterbox|conf=0.25|iou=0.65|nms=global|fb=off,preprocess,truffle,1,1,0,0,0,,,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\truffle\truffle_0019.png
pre=letterbox|conf=0.25|iou=0.65|nms=global|fb=off,preprocess,termitomyces,1,0,1,,,,,
pre=letterbox|conf=0.25|iou=0.65|nms=global|fb=off,preprocess,russula_emetica,1,1,0,0,0,,,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\russula_emetica\russula_emetica_0056.jpg
pre=letterbox|conf=0.25|iou=0.65|nms=global|fb=off,preprocess,entoloma_sinuatum,1,1,1,1,0,0.081285,0.503447,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\entoloma_sinuatum\entoloma_sinuatum_0049.jpg
pre=letterbox|conf=0.25|iou=0.65|nms=global|fb=off,preprocess,matsutake,1,1,1,1,0,0,0.496796,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\matsutake\matsutake_0038.jpg
pre=letterbox|conf=0.25|iou=0.65|nms=global|fb=off,preprocess,bolete_bluebury,1,1,1,1,0,0,0.166102,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\bolete_bluebury\bolete_bluebury_0042.jpg
pre=letterbox|conf=0.25|iou=0.65|nms=global|fb=off,preprocess,ganba_mushroom,1,1,0,0,0,,,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\ganba_mushroom\ganba_mushroom_0026.jpg
pre=letterbox|conf=0.25|iou=0.65|nms=global|fb=off,preprocess,gyromitra_esculenta,1,1,1,1,0,0.346355,0.547453,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\gyromitra_esculenta\gyromitra_esculenta_0003.jpg
pre=letterbox|conf=0.25|iou=0.65|nms=global|fb=off,preprocess,cereal_mushroom,1,1,1,1,0,0.138985,0.684004,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\cereal_mushroom\cereal_mushroom_0002.png
pre=letterbox|conf=0.25|iou=0.65|nms=global|fb=off,preprocess,puffball,1,1,1,1,0,0,0.068777,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\puffball\puffball_0004.jpg
pre=letterbox|conf=0.25|iou=0.65|nms=global|fb=off,preprocess,amanita_exitialis,1,1,0,0,0,,,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\amanita_exitialis\amanita_exitialis_0050.jpg
pre=letterbox|conf=0.2|iou=0.65|nms=global|fb=off,conf,amanita_muscaria,1,1,1,1,0,0.886466,0.607933,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\amanita_muscaria\amanita_muscaria_0049.jpg
pre=letterbox|conf=0.2|iou=0.65|nms=global|fb=off,conf,amanita_bisulcata,1,1,1,1,0,0.669014,0.350568,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\amanita_bisulcata\amanita_bisulcata_0039.jpg
pre=letterbox|conf=0.2|iou=0.65|nms=global|fb=off,conf,omphalotus_olearius,1,1,1,1,0,0.482378,0.413796,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\omphalotus_olearius\omphalotus_olearius_0011.jpeg
pre=letterbox|conf=0.2|iou=0.65|nms=global|fb=off,conf,chanterelle,1,1,1,1,0,0.018694,0.013279,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\chanterelle\chanterelle_0023.jpg
pre=letterbox|conf=0.2|iou=0.65|nms=global|fb=off,conf,amanita_phalloides,1,1,1,1,0,0.675018,0.453025,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\amanita_phalloides\amanita_phalloides_0020.jpg
pre=letterbox|conf=0.2|iou=0.65|nms=global|fb=off,conf,coral_mushroom_mix,1,1,1,1,0,0.050068,0.375909,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\coral_mushroom_mix\coral_mushroom_mix_0002.jpg
pre=letterbox|conf=0.2|iou=0.65|nms=global|fb=off,conf,russula_green,1,1,1,1,0,0,0.281433,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\russula_green\russula_green_0048.jpg
pre=letterbox|conf=0.2|iou=0.65|nms=global|fb=off,conf,chlorophyllum_molybdites,1,1,1,1,0,0.946588,0.237313,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\chlorophyllum_molybdites\chlorophyllum_molybdites_0043.jpg
pre=letterbox|conf=0.2|iou=0.65|nms=global|fb=off,conf,black_tiger_mushroom,1,1,0,0,0,,,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\black_tiger_mushroom\black_tiger_mushroom_0113.jpg
pre=letterbox|conf=0.2|iou=0.65|nms=global|fb=off,conf,truffle,1,1,0,0,0,,,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\truffle\truffle_0019.png
pre=letterbox|conf=0.2|iou=0.65|nms=global|fb=off,conf,termitomyces,1,0,1,,,,,
pre=letterbox|conf=0.2|iou=0.65|nms=global|fb=off,conf,russula_emetica,1,1,0,0,0,,,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\russula_emetica\russula_emetica_0056.jpg
pre=letterbox|conf=0.2|iou=0.65|nms=global|fb=off,conf,entoloma_sinuatum,1,1,1,1,0,0.081285,0.503447,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\entoloma_sinuatum\entoloma_sinuatum_0049.jpg
pre=letterbox|conf=0.2|iou=0.65|nms=global|fb=off,conf,matsutake,1,1,1,1,0,0,0.496796,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\matsutake\matsutake_0038.jpg
pre=letterbox|conf=0.2|iou=0.65|nms=global|fb=off,conf,bolete_bluebury,1,1,1,1,0,0,0.166102,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\bolete_bluebury\bolete_bluebury_0042.jpg
pre=letterbox|conf=0.2|iou=0.65|nms=global|fb=off,conf,ganba_mushroom,1,1,1,1,0,0.066579,0.663369,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\ganba_mushroom\ganba_mushroom_0026.jpg
pre=letterbox|conf=0.2|iou=0.65|nms=global|fb=off,conf,gyromitra_esculenta,1,1,1,1,0,0.346355,0.547453,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\gyromitra_esculenta\gyromitra_esculenta_0003.jpg
pre=letterbox|conf=0.2|iou=0.65|nms=global|fb=off,conf,cereal_mushroom,1,1,1,1,0,0.138985,0.684004,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\cereal_mushroom\cereal_mushroom_0002.png
pre=letterbox|conf=0.2|iou=0.65|nms=global|fb=off,conf,puffball,1,1,1,1,0,0,0.068777,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\puffball\puffball_0004.jpg
pre=letterbox|conf=0.2|iou=0.65|nms=global|fb=off,conf,amanita_exitialis,1,1,0,0,0,,,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\amanita_exitialis\amanita_exitialis_0050.jpg
pre=letterbox|conf=0.15|iou=0.65|nms=global|fb=off,conf,amanita_muscaria,1,1,1,1,0,0.886466,0.607933,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\amanita_muscaria\amanita_muscaria_0049.jpg
pre=letterbox|conf=0.15|iou=0.65|nms=global|fb=off,conf,amanita_bisulcata,1,1,1,1,0,0.669014,0.350568,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\amanita_bisulcata\amanita_bisulcata_0039.jpg
pre=letterbox|conf=0.15|iou=0.65|nms=global|fb=off,conf,omphalotus_olearius,1,1,1,1,0,0.482378,0.413796,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\omphalotus_olearius\omphalotus_olearius_0011.jpeg
pre=letterbox|conf=0.15|iou=0.65|nms=global|fb=off,conf,chanterelle,1,1,1,1,0,0.018694,0.013279,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\chanterelle\chanterelle_0023.jpg
pre=letterbox|conf=0.15|iou=0.65|nms=global|fb=off,conf,amanita_phalloides,1,1,1,1,0,0.675018,0.453025,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\amanita_phalloides\amanita_phalloides_0020.jpg
pre=letterbox|conf=0.15|iou=0.65|nms=global|fb=off,conf,coral_mushroom_mix,1,1,1,1,0,0.050068,0.375909,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\coral_mushroom_mix\coral_mushroom_mix_0002.jpg
pre=letterbox|conf=0.15|iou=0.65|nms=global|fb=off,conf,russula_green,1,1,1,1,0,0,0.281433,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\russula_green\russula_green_0048.jpg
pre=letterbox|conf=0.15|iou=0.65|nms=global|fb=off,conf,chlorophyllum_molybdites,1,1,1,1,0,0.946588,0.237313,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\chlorophyllum_molybdites\chlorophyllum_molybdites_0043.jpg
pre=letterbox|conf=0.15|iou=0.65|nms=global|fb=off,conf,black_tiger_mushroom,1,1,0,0,0,,,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\black_tiger_mushroom\black_tiger_mushroom_0113.jpg
pre=letterbox|conf=0.15|iou=0.65|nms=global|fb=off,conf,truffle,1,1,0,0,0,,,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\truffle\truffle_0019.png
pre=letterbox|conf=0.15|iou=0.65|nms=global|fb=off,conf,termitomyces,1,0,1,,,,,
pre=letterbox|conf=0.15|iou=0.65|nms=global|fb=off,conf,russula_emetica,1,1,0,0,0,,,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\russula_emetica\russula_emetica_0056.jpg
pre=letterbox|conf=0.15|iou=0.65|nms=global|fb=off,conf,entoloma_sinuatum,1,1,1,1,0,0.081285,0.503447,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\entoloma_sinuatum\entoloma_sinuatum_0049.jpg
pre=letterbox|conf=0.15|iou=0.65|nms=global|fb=off,conf,matsutake,1,1,1,1,0,0,0.496796,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\matsutake\matsutake_0038.jpg
pre=letterbox|conf=0.15|iou=0.65|nms=global|fb=off,conf,bolete_bluebury,1,1,1,1,0,0,0.166102,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\bolete_bluebury\bolete_bluebury_0042.jpg
pre=letterbox|conf=0.15|iou=0.65|nms=global|fb=off,conf,ganba_mushroom,1,1,1,1,0,0.066579,0.663369,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\ganba_mushroom\ganba_mushroom_0026.jpg
pre=letterbox|conf=0.15|iou=0.65|nms=global|fb=off,conf,gyromitra_esculenta,1,1,1,1,0,0.346355,0.547453,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\gyromitra_esculenta\gyromitra_esculenta_0003.jpg
pre=letterbox|conf=0.15|iou=0.65|nms=global|fb=off,conf,cereal_mushroom,1,1,1,1,0,0.138985,0.684004,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\cereal_mushroom\cereal_mushroom_0002.png
pre=letterbox|conf=0.15|iou=0.65|nms=global|fb=off,conf,puffball,1,1,1,1,0,0,0.068777,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\puffball\puffball_0004.jpg
pre=letterbox|conf=0.15|iou=0.65|nms=global|fb=off,conf,amanita_exitialis,1,1,1,1,0,0,0.497496,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\amanita_exitialis\amanita_exitialis_0050.jpg
pre=letterbox|conf=0.15|iou=0.6|nms=global|fb=off,iou,amanita_muscaria,1,1,1,1,0,0.886466,0.607933,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\amanita_muscaria\amanita_muscaria_0049.jpg
pre=letterbox|conf=0.15|iou=0.6|nms=global|fb=off,iou,amanita_bisulcata,1,1,1,1,0,0.669014,0.350568,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\amanita_bisulcata\amanita_bisulcata_0039.jpg
pre=letterbox|conf=0.15|iou=0.6|nms=global|fb=off,iou,omphalotus_olearius,1,1,1,1,0,0.482378,0.413796,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\omphalotus_olearius\omphalotus_olearius_0011.jpeg
pre=letterbox|conf=0.15|iou=0.6|nms=global|fb=off,iou,chanterelle,1,1,1,1,0,0.018694,0.013279,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\chanterelle\chanterelle_0023.jpg
pre=letterbox|conf=0.15|iou=0.6|nms=global|fb=off,iou,amanita_phalloides,1,1,1,1,0,0.675018,0.453025,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\amanita_phalloides\amanita_phalloides_0020.jpg
pre=letterbox|conf=0.15|iou=0.6|nms=global|fb=off,iou,coral_mushroom_mix,1,1,1,1,0,0.050068,0.375909,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\coral_mushroom_mix\coral_mushroom_mix_0002.jpg
pre=letterbox|conf=0.15|iou=0.6|nms=global|fb=off,iou,russula_green,1,1,1,1,0,0,0.281433,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\russula_green\russula_green_0048.jpg
pre=letterbox|conf=0.15|iou=0.6|nms=global|fb=off,iou,chlorophyllum_molybdites,1,1,1,1,0,0.946588,0.237313,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\chlorophyllum_molybdites\chlorophyllum_molybdites_0043.jpg
pre=letterbox|conf=0.15|iou=0.6|nms=global|fb=off,iou,black_tiger_mushroom,1,1,0,0,0,,,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\black_tiger_mushroom\black_tiger_mushroom_0113.jpg
pre=letterbox|conf=0.15|iou=0.6|nms=global|fb=off,iou,truffle,1,1,0,0,0,,,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\truffle\truffle_0019.png
pre=letterbox|conf=0.15|iou=0.6|nms=global|fb=off,iou,termitomyces,1,0,1,,,,,
pre=letterbox|conf=0.15|iou=0.6|nms=global|fb=off,iou,russula_emetica,1,1,0,0,0,,,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\russula_emetica\russula_emetica_0056.jpg
pre=letterbox|conf=0.15|iou=0.6|nms=global|fb=off,iou,entoloma_sinuatum,1,1,1,1,0,0.081285,0.503447,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\entoloma_sinuatum\entoloma_sinuatum_0049.jpg
pre=letterbox|conf=0.15|iou=0.6|nms=global|fb=off,iou,matsutake,1,1,1,1,0,0,0.496796,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\matsutake\matsutake_0038.jpg
pre=letterbox|conf=0.15|iou=0.6|nms=global|fb=off,iou,bolete_bluebury,1,1,1,1,0,0,0.166102,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\bolete_bluebury\bolete_bluebury_0042.jpg
pre=letterbox|conf=0.15|iou=0.6|nms=global|fb=off,iou,ganba_mushroom,1,1,1,1,0,0.066579,0.663369,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\ganba_mushroom\ganba_mushroom_0026.jpg
pre=letterbox|conf=0.15|iou=0.6|nms=global|fb=off,iou,gyromitra_esculenta,1,1,1,1,0,0.346355,0.547453,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\gyromitra_esculenta\gyromitra_esculenta_0003.jpg
pre=letterbox|conf=0.15|iou=0.6|nms=global|fb=off,iou,cereal_mushroom,1,1,1,1,0,0.138985,0.684004,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\cereal_mushroom\cereal_mushroom_0002.png
pre=letterbox|conf=0.15|iou=0.6|nms=global|fb=off,iou,puffball,1,1,1,1,0,0,0.068777,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\puffball\puffball_0004.jpg
pre=letterbox|conf=0.15|iou=0.6|nms=global|fb=off,iou,amanita_exitialis,1,1,1,1,0,0,0.497496,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\amanita_exitialis\amanita_exitialis_0050.jpg
pre=letterbox|conf=0.15|iou=0.7|nms=global|fb=off,iou,amanita_muscaria,1,1,1,1,0,0.886466,0.607933,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\amanita_muscaria\amanita_muscaria_0049.jpg
pre=letterbox|conf=0.15|iou=0.7|nms=global|fb=off,iou,amanita_bisulcata,1,1,1,1,0,0.669014,0.350568,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\amanita_bisulcata\amanita_bisulcata_0039.jpg
pre=letterbox|conf=0.15|iou=0.7|nms=global|fb=off,iou,omphalotus_olearius,1,1,1,1,0,0.482378,0.413796,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\omphalotus_olearius\omphalotus_olearius_0011.jpeg
pre=letterbox|conf=0.15|iou=0.7|nms=global|fb=off,iou,chanterelle,1,1,1,1,0,0.018694,0.013279,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\chanterelle\chanterelle_0023.jpg
pre=letterbox|conf=0.15|iou=0.7|nms=global|fb=off,iou,amanita_phalloides,1,1,1,1,0,0.675018,0.453025,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\amanita_phalloides\amanita_phalloides_0020.jpg
pre=letterbox|conf=0.15|iou=0.7|nms=global|fb=off,iou,coral_mushroom_mix,1,1,1,1,0,0.050068,0.375909,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\coral_mushroom_mix\coral_mushroom_mix_0002.jpg
pre=letterbox|conf=0.15|iou=0.7|nms=global|fb=off,iou,russula_green,1,1,1,1,0,0,0.281433,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\russula_green\russula_green_0048.jpg
pre=letterbox|conf=0.15|iou=0.7|nms=global|fb=off,iou,chlorophyllum_molybdites,1,1,1,1,0,0.946588,0.237313,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\chlorophyllum_molybdites\chlorophyllum_molybdites_0043.jpg
pre=letterbox|conf=0.15|iou=0.7|nms=global|fb=off,iou,black_tiger_mushroom,1,1,0,0,0,,,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\black_tiger_mushroom\black_tiger_mushroom_0113.jpg
pre=letterbox|conf=0.15|iou=0.7|nms=global|fb=off,iou,truffle,1,1,0,0,0,,,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\truffle\truffle_0019.png
pre=letterbox|conf=0.15|iou=0.7|nms=global|fb=off,iou,termitomyces,1,0,1,,,,,
pre=letterbox|conf=0.15|iou=0.7|nms=global|fb=off,iou,russula_emetica,1,1,0,0,0,,,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\russula_emetica\russula_emetica_0056.jpg
pre=letterbox|conf=0.15|iou=0.7|nms=global|fb=off,iou,entoloma_sinuatum,1,1,1,1,0,0.081285,0.503447,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\entoloma_sinuatum\entoloma_sinuatum_0049.jpg
pre=letterbox|conf=0.15|iou=0.7|nms=global|fb=off,iou,matsutake,1,1,1,1,0,0,0.496796,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\matsutake\matsutake_0038.jpg
pre=letterbox|conf=0.15|iou=0.7|nms=global|fb=off,iou,bolete_bluebury,1,1,1,1,0,0,0.166102,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\bolete_bluebury\bolete_bluebury_0042.jpg
pre=letterbox|conf=0.15|iou=0.7|nms=global|fb=off,iou,ganba_mushroom,1,1,1,1,0,0.066579,0.663369,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\ganba_mushroom\ganba_mushroom_0026.jpg
pre=letterbox|conf=0.15|iou=0.7|nms=global|fb=off,iou,gyromitra_esculenta,1,1,1,1,0,0.346355,0.547453,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\gyromitra_esculenta\gyromitra_esculenta_0003.jpg
pre=letterbox|conf=0.15|iou=0.7|nms=global|fb=off,iou,cereal_mushroom,1,1,1,1,0,0.138985,0.684004,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\cereal_mushroom\cereal_mushroom_0002.png
pre=letterbox|conf=0.15|iou=0.7|nms=global|fb=off,iou,puffball,1,1,1,1,0,0,0.068777,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\puffball\puffball_0004.jpg
pre=letterbox|conf=0.15|iou=0.7|nms=global|fb=off,iou,amanita_exitialis,1,1,1,1,0,0,0.497496,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\amanita_exitialis\amanita_exitialis_0050.jpg
pre=letterbox|conf=0.15|iou=0.65|nms=class_wise|fb=off,nms,amanita_muscaria,1,1,1,1,0,0.886466,0.607933,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\amanita_muscaria\amanita_muscaria_0049.jpg
pre=letterbox|conf=0.15|iou=0.65|nms=class_wise|fb=off,nms,amanita_bisulcata,1,1,1,1,0,0.669014,0.350568,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\amanita_bisulcata\amanita_bisulcata_0039.jpg
